mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.005779886245727539,0.0012823808799809016,0.0008783817291259765,0.0005854454774902071,friedman_mse,3,4,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 4}",-0.010083311756020237,-0.009644555475233655,-0.00949640141087983,-0.009169544527855405,-0.010761448859246748,-0.009831052405847177,0.0005502067623092817,5,-0.009512853081634434,-0.009559044322220168,-0.00958373040979675,-0.00966377594937514,-0.009300344962617174,-0.009523949745128733,0.0001220483177320213
0.005648612976074219,0.001576783626068971,0.0005850791931152344,0.00031882146847175515,friedman_mse,3,8,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 8}",-0.010083311756020237,-0.009644555475233655,-0.00949640141087983,-0.009169544527855405,-0.010761448859246748,-0.009831052405847177,0.0005502067623092817,5,-0.009512853081634434,-0.009559044322220168,-0.00958373040979675,-0.00966377594937514,-0.009300344962617174,-0.009523949745128733,0.0001220483177320213
0.00517730712890625,0.0014554042021265806,0.0005099773406982422,0.0002302021450076372,friedman_mse,3,16,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 16}",-0.009836461443663732,-0.009644555475233655,-0.00949640141087983,-0.009169544527855405,-0.010761448859246748,-0.009781682343375874,0.0005362545792909515,3,-0.009523150351831046,-0.009559044322220168,-0.00958373040979675,-0.00966377594937514,-0.009300344962617174,-0.009526009199168056,0.00012193051762403076
0.005715322494506836,0.0011973114268963002,0.0008229255676269531,0.0003247150273611274,friedman_mse,3,32,"{'criterion': 'friedman_mse', 'max_depth': 3, 'min_samples_leaf': 32}",-0.009836461443663732,-0.009678219722551415,-0.00949640141087983,-0.009165760281338961,-0.01059569286204177,-0.009754507144095141,0.0004761031669512001,1,-0.009523150351831046,-0.009559301851093046,-0.00958373040979675,-0.009663963102166613,-0.009316617405714635,-0.009529352624120418,0.00011599019088082591
0.008159685134887695,0.0018157020775514752,0.0007410526275634765,0.0003582756660452941,friedman_mse,5,4,"{'criterion': 'friedman_mse', 'max_depth': 5, 'min_samples_leaf': 4}",-0.010283777098709826,-0.009855215289211223,-0.010108638439319244,-0.010321460323153946,-0.011174260982208677,-0.010348670426520584,0.0004444467632411731,19,-0.009227683641704492,-0.009133791012086362,-0.009178961625696256,-0.0092226788032055,-0.008927030574349154,-0.009138029131408352,0.00011083078992489943
0.006962919235229492,0.0015655991634108046,0.0004341602325439453,3.93360310164394e-05,friedman_mse,5,8,"{'criterion': 'friedman_mse', 'max_depth': 5, 'min_samples_leaf': 8}",-0.010394760278201229,-0.009796020646805821,-0.009935436854552275,-0.010046884081410098,-0.011194198840929153,-0.010273460140379716,0.0005012022347134667,17,-0.009250693517371296,-0.009147209754635248,-0.009236063220004727,-0.009200810763826731,-0.008965210057191185,-0.009159997462605837,0.00010371418238461539
0.007574129104614258,0.001424153954145421,0.0007046699523925781,0.00029303909521413756,friedman_mse,5,16,"{'criterion': 'friedman_mse', 'max_depth': 5, 'min_samples_leaf': 16}",-0.009913554389965516,-0.009788550381985523,-0.009977836822560903,-0.009894701413122913,-0.011213356994328473,-0.010157600000392666,0.0005313773006729201,15,-0.009320166751329953,-0.009176708510739703,-0.009293448996124649,-0.009242695299807271,-0.009043467697649207,-0.009215297451130157,9.886399417718984e-05
0.008100175857543945,0.001662713732571913,0.0007468700408935547,0.000329549007899357,friedman_mse,5,32,"{'criterion': 'friedman_mse', 'max_depth': 5, 'min_samples_leaf': 32}",-0.009970164384900277,-0.010123705689736187,-0.009916276939652344,-0.009658417337513136,-0.010770656136680686,-0.010087844097696527,0.00037288322066032754,13,-0.009300647623769765,-0.009162411836637865,-0.009312953266754511,-0.009336411374062199,-0.009111512592302369,-0.009244787338705342,9.023282154405163e-05
0.013508415222167969,0.0029493049985533236,0.0007939338684082031,0.00034516670503773793,friedman_mse,10,4,"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 4}",-0.013834858057792422,-0.011130051421828274,-0.012454554946435237,-0.011863204486031797,-0.014608688605111319,-0.012778271503439808,0.0012747997023834514,46,-0.007048341310749059,-0.007022425021548818,-0.007005327019779221,-0.006900838435709154,-0.006933487127914022,-0.006982083783140055,5.5713849102356263e-05
0.013826608657836914,0.0006034932907600989,0.0008298397064208984,0.00028515546210001335,friedman_mse,10,8,"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 8}",-0.012777485420948398,-0.011454867481961579,-0.012195049249821966,-0.011648411099320263,-0.01431444863111609,-0.01247805237663366,0.0010273572016584308,42,-0.007542312932282527,-0.007473898432441246,-0.007617550989767581,-0.0072371153187186475,-0.007324269232769943,-0.007439029381195989,0.00013978017576155106
0.013923454284667968,0.0014222712042811353,0.0008814334869384766,0.00030317702505304147,friedman_mse,10,16,"{'criterion': 'friedman_mse', 'max_depth': 10, 'min_samples_leaf': 16}",-0.010866821584852434,-0.010607720015272748,-0.012058436404467255,-0.011196549438779622,-0.012893337787604254,-0.011524573046195263,0.0008413540223784838,32,-0.0084240240811842,-0.00797830318940849,-0.00807723151470886,-0.007851747547933732,-0.008044083439932575,-0.00807507795463357,0.0001907723893745219
